$FLYS,1
$VAR,FIRMWARE_VER,v2024.06.09.starter_pistol
$VAR,DEVICE_ID,0017003b3253501720373657
$VAR,SESSION_ID,3ee6304fa45e4bac03d2783d
$COL,GNSS,time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc
$UNIT,GNSSdeg,deg,m,m/s,m/s,m/s,m,m,m/s
$GNSS,2025-07-29T15:21:25.100Z,40.2684273,-111.630794,1820.961,-13.6,-37.03,15.49,0.543,0.745,0.22
$GNSS,2025-07-29T15:21:25.150Z,40.2684212,-111.6308159,1820.196,-13.64,-37.07,15.45,0.543,0.745,0.21
$GNSS,2025-07-29T15:21:25.200Z,40.268415,-111.6308377,1819.427,-13.62,-37.03,15.53,0.543,0.745,0.21
$GNSS,2025-07-29T15:21:25.250Z,40.2684089,-111.6308594,1818.639,-13.63,-37.02,15.61,0.544,0.745,0.22
$GNSS,2025-07-29T15:21:25.300Z,40.2684027,-111.6308811,1817.841,-13.75,-37.11,15.59,0.544,0.745,0.21
$GNSS,2025-07-29T15:21:25.350Z,40.2683966,-111.630903,1817.085,-13.64,-37.21,15.42,0.544,0.745,0.22
$GNSS,2025-07-29T15:21:25.400Z,40.2683904,-111.6309249,1816.31,-13.61,-37.17,15.48,0.544,0.745,0.22
$GNSS,2025-07-29T15:21:25.450Z,40.2683843,-111.6309467,1815.529,-13.52,-37.16,15.54,0.544,0.745,0.22
$GNSS,2025-07-29T15:21:25.500Z,40.2683783,-111.6309685,1814.738,-13.61,-37.21,15.55,0.544,0.745,0.22
$GNSS,2025-07-29T15:21:25.550Z,40.2683722,-111.6309904,1813.96,-13.54,-37.26,15.51,0.544,0.745,0.22
$GNSS,2025-07-29T15:21:25.600Z,40.268366,-111.6310123,1813.189,-13.64,-37.27,15.47,0.545,0.745,0.22
$GNSS,2025-07-29T15:21:25.650Z,40.2683599,-111.6310342,1812.411,-13.58,-37.32,15.54,0.545,0.745,0.22
$GNSS,2025-07-29T15:21:25.700Z,40.2683538,-111.6310562,1811.633,-13.55,-37.33,15.6,0.545,0.745,0.22
$GNSS,2025-07-29T15:21:25.750Z,40.2683478,-111.6310781,1810.843,-13.45,-37.31,15.58,0.545,0.745,0.22
$GNSS,2025-07-29T15:21:25.800Z,40.2683417,-111.6311,1810.054,-13.44,-37.34,15.58,0.545,0.745,0.21
$GNSS,2025-07-29T15:21:25.850Z,40.2683357,-111.6311219,1809.277,-13.36,-37.39,15.6,0.546,0.745,0.22
$GNSS,2025-07-29T15:21:25.900Z,40.2683297,-111.6311439,1808.492,-13.32,-37.39,15.69,0.546,0.745,0.22
$GNSS,2025-07-29T15:21:25.950Z,40.2683237,-111.631166,1807.695,-13.38,-37.52,15.79,0.546,0.745,0.22
$GNSS,2025-07-29T15:21:26.000Z,40.2683178,-111.6311879,1806.911,-13.23,-37.47,15.69,0.546,0.745,0.22
$GNSS,2025-07-29T15:21:26.050Z,40.2683118,-111.63121,1806.13,-13.16,-37.51,15.71,0.546,0.745,0.22
$GNSS,2025-07-29T15:21:26.100Z,40.2683059,-111.6312322,1805.354,-13.12,-37.6,15.7,0.547,0.745,0.22
$GNSS,2025-07-29T15:21:26.150Z,40.2683,-111.6312542,1804.554,-13.06,-37.62,15.7,0.546,0.745,0.2
$GNSS,2025-07-29T15:21:26.200Z,40.2682942,-111.6312763,1803.772,-13.01,-37.6,15.69,0.546,0.745,0.2
$GNSS,2025-07-29T15:21:26.250Z,40.2682884,-111.6312984,1802.978,-12.88,-37.65,15.67,0.546,0.745,0.2
$GNSS,2025-07-29T15:21:26.300Z,40.2682826,-111.6313206,1802.191,-12.85,-37.84,15.75,0.546,0.745,0.2
$GNSS,2025-07-29T15:21:26.350Z,40.2682769,-111.6313428,1801.392,-12.82,-37.85,15.8,0.546,0.745,0.2
$GNSS,2025-07-29T15:21:26.400Z,40.2682711,-111.631365,1800.605,-12.77,-37.79,15.74,0.546,0.745,0.2
$GNSS,2025-07-29T15:21:26.450Z,40.2682655,-111.6313872,1799.814,-12.58,-37.78,15.74,0.546,0.745,0.2
$GNSS,2025-07-29T15:21:26.500Z,40.2682599,-111.6314095,1799.025,-12.51,-37.99,15.78,0.546,0.745,0.2
$GNSS,2025-07-29T15:21:26.550Z,40.2682542,-111.6314318,1798.25,-12.45,-37.91,15.68,0.546,0.745,0.22
$GNSS,2025-07-29T15:21:26.600Z,40.2682487,-111.6314541,1797.449,-12.42,-37.92,15.73,0.546,0.745,0.2
$GNSS,2025-07-29T15:21:26.650Z,40.2682431,-111.6314764,1796.662,-12.36,-38,15.81,0.546,0.745,0.2
$GNSS,2025-07-29T15:21:26.700Z,40.2682375,-111.6314988,1795.868,-12.35,-38.01,15.85,0.546,0.745,0.2
$GNSS,2025-07-29T15:21:26.750Z,40.2682321,-111.6315211,1795.065,-12.18,-38.13,15.82,0.546,0.745,0.2
$GNSS,2025-07-29T15:21:26.800Z,40.2682266,-111.6315435,1794.271,-12.16,-38.16,15.81,0.546,0.745,0.22
$GNSS,2025-07-29T15:21:26.850Z,40.2682212,-111.6315659,1793.481,-12.13,-38.09,15.8,0.546,0.745,0.22
$GNSS,2025-07-29T15:21:26.900Z,40.2682157,-111.6315883,1792.692,-12.07,-38.14,15.76,0.546,0.746,0.23
$GNSS,2025-07-29T15:21:26.950Z,40.2682103,-111.6316107,1791.899,-12.12,-38.15,15.84,0.546,0.746,0.22
$GNSS,2025-07-29T15:21:27.000Z,40.2682048,-111.6316333,1791.115,-12.03,-38.31,15.78,0.546,0.746,0.21
$GNSS,2025-07-29T15:21:27.050Z,40.2681995,-111.6316556,1790.302,-11.99,-38.24,15.79,0.546,0.746,0.21
$GNSS,2025-07-29T15:21:27.100Z,40.2681942,-111.6316781,1789.508,-11.94,-38.25,15.71,0.546,0.746,0.21
$GNSS,2025-07-29T15:21:27.150Z,40.2681888,-111.6317005,1788.71,-11.88,-38.33,15.76,0.546,0.746,0.21
$GNSS,2025-07-29T15:21:27.200Z,40.2681835,-111.6317231,1787.935,-11.76,-38.29,15.75,0.545,0.746,0.21
$GNSS,2025-07-29T15:21:27.250Z,40.2681782,-111.6317456,1787.145,-11.83,-38.29,15.78,0.545,0.746,0.21
$GNSS,2025-07-29T15:21:27.300Z,40.2681729,-111.6317682,1786.37,-11.79,-38.47,15.69,0.545,0.747,0.21
$GNSS,2025-07-29T15:21:27.350Z,40.2681676,-111.6317907,1785.579,-11.75,-38.42,15.62,0.545,0.747,0.21
$GNSS,2025-07-29T15:21:27.400Z,40.2681623,-111.6318133,1784.796,-11.72,-38.52,15.51,0.545,0.747,0.2
$GNSS,2025-07-29T15:21:27.450Z,40.2681571,-111.6318359,1784.018,-11.63,-38.47,15.48,0.545,0.747,0.21
$GNSS,2025-07-29T15:21:27.500Z,40.2681519,-111.6318585,1783.24,-11.56,-38.49,15.58,0.545,0.747,0.2
$GNSS,2025-07-29T15:21:27.550Z,40.2681467,-111.6318812,1782.458,-11.61,-38.6,15.57,0.545,0.747,0.2
$GNSS,2025-07-29T15:21:27.600Z,40.2681415,-111.6319039,1781.692,-11.47,-38.59,15.45,0.545,0.747,0.2
$GNSS,2025-07-29T15:21:27.650Z,40.2681364,-111.6319266,1780.931,-11.42,-38.64,15.25,0.545,0.747,0.2
$GNSS,2025-07-29T15:21:27.700Z,40.2681312,-111.6319492,1780.178,-11.44,-38.64,15.06,0.545,0.747,0.2
$GNSS,2025-07-29T15:21:27.750Z,40.2681261,-111.631972,1779.429,-11.36,-38.73,14.93,0.544,0.747,0.2
$GNSS,2025-07-29T15:21:27.800Z,40.2681211,-111.6319947,1778.687,-11.29,-38.64,14.89,0.544,0.747,0.2
$GNSS,2025-07-29T15:21:27.850Z,40.268116,-111.6320175,1777.961,-11.21,-38.72,14.78,0.544,0.747,0.2
$GNSS,2025-07-29T15:21:27.900Z,40.268111,-111.6320403,1777.239,-11.13,-38.78,14.56,0.544,0.747,0.2
$GNSS,2025-07-29T15:21:27.950Z,40.268106,-111.632063,1776.536,-11.12,-38.82,14.14,0.544,0.747,0.2
$GNSS,2025-07-29T15:21:28.000Z,40.2681011,-111.6320858,1775.84,-10.93,-38.82,13.88,0.544,0.747,0.2
$GNSS,2025-07-29T15:21:28.050Z,40.2680962,-111.6321085,1775.159,-10.9,-38.7,13.7,0.544,0.747,0.2
$GNSS,2025-07-29T15:21:28.100Z,40.2680913,-111.6321313,1774.478,-10.95,-38.82,13.53,0.544,0.748,0.2
$GNSS,2025-07-29T15:21:28.150Z,40.2680864,-111.6321541,1773.829,-10.79,-38.79,13.21,0.544,0.748,0.2
$GNSS,2025-07-29T15:21:28.200Z,40.2680817,-111.6321768,1773.183,-10.6,-38.8,12.96,0.544,0.748,0.2
$GNSS,2025-07-29T15:21:28.250Z,40.2680769,-111.6321997,1772.553,-10.63,-38.84,12.71,0.544,0.748,0.2
$GNSS,2025-07-29T15:21:28.300Z,40.2680722,-111.6322224,1771.945,-10.36,-38.71,12.42,0.544,0.748,0.18
$GNSS,2025-07-29T15:21:28.350Z,40.2680676,-111.6322451,1771.351,-10.23,-38.66,12.12,0.544,0.748,0.18
$GNSS,2025-07-29T15:21:28.400Z,40.268063,-111.6322679,1770.752,-10.23,-38.74,11.88,0.544,0.748,0.18
$GNSS,2025-07-29T15:21:28.450Z,40.2680584,-111.6322906,1770.171,-10.19,-38.68,11.7,0.544,0.748,0.18
$GNSS,2025-07-29T15:21:28.500Z,40.2680539,-111.6323133,1769.598,-10,-38.64,11.6,0.544,0.748,0.18
$GNSS,2025-07-29T15:21:28.550Z,40.2680494,-111.6323361,1769.049,-9.87,-38.68,11.34,0.544,0.748,0.18
$GNSS,2025-07-29T15:21:28.600Z,40.2680451,-111.6323587,1768.5,-9.71,-38.52,11.12,0.543,0.749,0.18
$GNSS,2025-07-29T15:21:28.650Z,40.2680407,-111.6323814,1767.965,-9.62,-38.55,10.8,0.543,0.749,0.18
$GNSS,2025-07-29T15:21:28.700Z,40.2680364,-111.6324041,1767.438,-9.65,-38.6,10.58,0.543,0.749,0.18
$GNSS,2025-07-29T15:21:28.750Z,40.2680321,-111.6324268,1766.916,-9.53,-38.58,10.6,0.543,0.749,0.17
$GNSS,2025-07-29T15:21:28.800Z,40.2680278,-111.6324494,1766.402,-9.39,-38.46,10.46,0.543,0.749,0.17
$GNSS,2025-07-29T15:21:28.850Z,40.2680236,-111.632472,1765.897,-9.29,-38.48,10.31,0.543,0.749,0.17
$GNSS,2025-07-29T15:21:28.900Z,40.2680196,-111.6324946,1765.385,-9.09,-38.43,10.17,0.543,0.749,0.17
$GNSS,2025-07-29T15:21:28.950Z,40.2680154,-111.6325172,1764.885,-9.11,-38.41,10.04,0.542,0.749,0.17
$GNSS,2025-07-29T15:21:29.000Z,40.2680114,-111.6325398,1764.42,-8.9,-38.32,9.8,0.542,0.749,0.17
$GNSS,2025-07-29T15:21:29.050Z,40.2680074,-111.6325623,1763.942,-8.88,-38.35,9.7,0.542,0.749,0.17
$GNSS,2025-07-29T15:21:29.100Z,40.2680035,-111.6325848,1763.458,-8.72,-38.29,9.58,0.542,0.749,0.17
$GNSS,2025-07-29T15:21:29.150Z,40.2679996,-111.6326072,1762.985,-8.6,-38.2,9.47,0.542,0.749,0.17
$GNSS,2025-07-29T15:21:29.200Z,40.2679957,-111.6326297,1762.533,-8.53,-38.16,9.28,0.541,0.749,0.17
$GNSS,2025-07-29T15:21:29.250Z,40.267992,-111.6326521,1762.078,-8.34,-38.13,9.14,0.541,0.749,0.17
$GNSS,2025-07-29T15:21:29.300Z,40.2679882,-111.6326745,1761.647,-8.29,-38.01,8.86,0.541,0.75,0.16
$GNSS,2025-07-29T15:21:29.350Z,40.2679846,-111.6326968,1761.214,-8.1,-37.95,8.72,0.54,0.75,0.16
$GNSS,2025-07-29T15:21:29.400Z,40.267981,-111.632719,1760.801,-7.9,-37.84,8.54,0.54,0.751,0.16
$GNSS,2025-07-29T15:21:29.450Z,40.2679775,-111.6327413,1760.396,-7.78,-37.81,8.17,0.539,0.751,0.16
$GNSS,2025-07-29T15:21:29.500Z,40.267974,-111.6327634,1759.998,-7.59,-37.72,7.95,0.539,0.751,0.16
$GNSS,2025-07-29T15:21:29.550Z,40.2679706,-111.6327855,1759.624,-7.48,-37.61,7.69,0.538,0.752,0.16
$GNSS,2025-07-29T15:21:29.600Z,40.2679673,-111.6328076,1759.275,-7.24,-37.49,7.44,0.538,0.752,0.17
$GNSS,2025-07-29T15:21:29.650Z,40.2679641,-111.6328296,1758.934,-7.08,-37.31,7.16,0.537,0.751,0.17
$GNSS,2025-07-29T15:21:29.700Z,40.2679609,-111.6328515,1758.609,-6.98,-37.17,6.83,0.536,0.751,0.17
$GNSS,2025-07-29T15:21:29.750Z,40.2679579,-111.6328732,1758.292,-6.78,-36.91,6.5,0.536,0.751,0.17
$GNSS,2025-07-29T15:21:29.800Z,40.2679549,-111.6328949,1757.996,-6.59,-36.85,6.14,0.535,0.751,0.17
$GNSS,2025-07-29T15:21:29.850Z,40.2679519,-111.6329165,1757.724,-6.4,-36.64,5.74,0.534,0.751,0.17
$GNSS,2025-07-29T15:21:29.900Z,40.2679491,-111.632938,1757.458,-6.25,-36.55,5.44,0.534,0.751,0.17
$GNSS,2025-07-29T15:21:29.950Z,40.2679463,-111.6329594,1757.217,-6.17,-36.33,5.12,0.533,0.75,0.17
$GNSS,2025-07-29T15:21:30.000Z,40.2679436,-111.6329806,1757.001,-5.95,-36.02,4.79,0.532,0.75,0.18
$GNSS,2025-07-29T15:21:30.050Z,40.267941,-111.6330017,1756.787,-5.75,-35.86,4.41,0.532,0.75,0.19
$GNSS,2025-07-29T15:21:30.100Z,40.2679384,-111.6330226,1756.588,-5.68,-35.6,4.05,0.531,0.75,0.18
$GNSS,2025-07-29T15:21:30.150Z,40.2679359,-111.6330434,1756.41,-5.54,-35.39,3.79,0.53,0.749,0.18
$GNSS,2025-07-29T15:21:30.200Z,40.2679335,-111.633064,1756.251,-5.23,-35.01,3.46,0.529,0.749,0.18
$GNSS,2025-07-29T15:21:30.250Z,40.2679312,-111.6330845,1756.106,-5.14,-34.78,3.12,0.529,0.749,0.18
$GNSS,2025-07-29T15:21:30.300Z,40.2679289,-111.6331047,1755.967,-4.93,-34.43,2.82,0.528,0.748,0.18
$GNSS,2025-07-29T15:21:30.350Z,40.2679268,-111.6331248,1755.847,-4.64,-34.17,2.56,0.528,0.748,0.18
$GNSS,2025-07-29T15:21:30.400Z,40.2679248,-111.6331448,1755.739,-4.43,-34.09,2.45,0.527,0.748,0.18
$GNSS,2025-07-29T15:21:30.450Z,40.2679228,-111.6331647,1755.643,-4.34,-33.85,2.19,0.526,0.747,0.18
$GNSS,2025-07-29T15:21:30.500Z,40.2679209,-111.6331844,1755.561,-4.17,-33.45,1.85,0.526,0.747,0.18
$GNSS,2025-07-29T15:21:30.550Z,40.2679192,-111.6332038,1755.496,-3.88,-33.04,1.56,0.525,0.747,0.18
$GNSS,2025-07-29T15:21:30.600Z,40.2679174,-111.6332231,1755.445,-3.81,-32.72,1.24,0.525,0.747,0.19
$GNSS,2025-07-29T15:21:30.650Z,40.2679157,-111.6332422,1755.405,-3.79,-32.52,1.08,0.525,0.747,0.19
$GNSS,2025-07-29T15:21:30.700Z,40.267914,-111.6332611,1755.383,-3.71,-32.12,0.88,0.524,0.747,0.19
$GNSS,2025-07-29T15:21:30.750Z,40.2679124,-111.6332798,1755.36,-3.54,-31.91,0.7,0.524,0.746,0.19
$GNSS,2025-07-29T15:21:30.800Z,40.2679108,-111.6332984,1755.346,-3.39,-31.61,0.44,0.523,0.746,0.19
$GNSS,2025-07-29T15:21:30.850Z,40.2679094,-111.6333167,1755.337,-3.21,-31.19,0.23,0.523,0.746,0.19
$GNSS,2025-07-29T15:21:30.900Z,40.2679079,-111.6333349,1755.338,-3.2,-30.83,0.1,0.523,0.746,0.19
$GNSS,2025-07-29T15:21:30.950Z,40.2679065,-111.6333529,1755.354,-3.05,-30.58,-0.05,0.522,0.746,0.2
$GNSS,2025-07-29T15:21:31.000Z,40.2679052,-111.6333706,1755.393,-2.96,-30.18,-0.35,0.522,0.746,0.2
$GNSS,2025-07-29T15:21:31.050Z,40.2679038,-111.6333882,1755.424,-2.91,-29.92,-0.58,0.522,0.746,0.23
$GNSS,2025-07-29T15:21:31.100Z,40.2679026,-111.6334056,1755.463,-2.72,-29.51,-0.73,0.521,0.746,0.21
$GNSS,2025-07-29T15:21:31.150Z,40.2679014,-111.6334226,1755.514,-2.69,-29.03,-0.96,0.521,0.746,0.21
$GNSS,2025-07-29T15:21:31.200Z,40.2679002,-111.6334395,1755.568,-2.69,-28.72,-1.07,0.521,0.745,0.21
$GNSS,2025-07-29T15:21:31.250Z,40.267899,-111.6334562,1755.633,-2.64,-28.48,-1.03,0.52,0.745,0.2
$GNSS,2025-07-29T15:21:31.300Z,40.2678978,-111.6334728,1755.685,-2.46,-28.23,-1,0.52,0.745,0.2
$GNSS,2025-07-29T15:21:31.350Z,40.2678968,-111.6334892,1755.757,-2.28,-27.88,-1.26,0.52,0.745,0.2
$GNSS,2025-07-29T15:21:31.400Z,40.2678959,-111.6335053,1755.835,-2,-27.52,-1.34,0.519,0.745,0.2
$GNSS,2025-07-29T15:21:31.450Z,40.2678951,-111.6335213,1755.909,-1.88,-27.22,-1.42,0.519,0.745,0.2
$GNSS,2025-07-29T15:21:31.500Z,40.2678942,-111.6335371,1755.967,-1.88,-26.89,-1.35,0.518,0.745,0.2
$GNSS,2025-07-29T15:21:31.550Z,40.2678934,-111.6335527,1756.035,-1.81,-26.61,-1.32,0.518,0.745,0.2
$GNSS,2025-07-29T15:21:31.600Z,40.2678927,-111.6335681,1756.111,-1.59,-26.23,-1.46,0.518,0.745,0.19
$GNSS,2025-07-29T15:21:31.650Z,40.267892,-111.6335833,1756.182,-1.59,-25.94,-1.52,0.517,0.745,0.19
$GNSS,2025-07-29T15:21:31.700Z,40.2678914,-111.6335985,1756.247,-1.39,-25.84,-1.42,0.517,0.745,0.19
$GNSS,2025-07-29T15:21:31.750Z,40.2678908,-111.6336135,1756.308,-1.35,-25.52,-1.33,0.517,0.744,0.2
$GNSS,2025-07-29T15:21:31.800Z,40.2678902,-111.6336283,1756.35,-1.31,-25.28,-1.14,0.517,0.744,0.19
$GNSS,2025-07-29T15:21:31.850Z,40.2678897,-111.633643,1756.401,-1.25,-25.07,-1.05,0.517,0.744,0.19
$GNSS,2025-07-29T15:21:31.900Z,40.2678891,-111.6336577,1756.458,-1.14,-25,-1.03,0.516,0.744,0.19
$GNSS,2025-07-29T15:21:31.950Z,40.2678887,-111.6336722,1756.493,-0.99,-24.65,-0.9,0.516,0.744,0.19
$GNSS,2025-07-29T15:21:32.000Z,40.2678883,-111.6336865,1756.517,-0.93,-24.36,-0.85,0.516,0.744,0.19
$GNSS,2025-07-29T15:21:32.050Z,40.267888,-111.6337005,1756.549,-0.73,-23.96,-0.8,0.516,0.744,0.19
$GNSS,2025-07-29T15:21:32.100Z,40.2678877,-111.6337144,1756.592,-0.77,-23.69,-0.79,0.515,0.744,0.18
$GNSS,2025-07-29T15:21:32.150Z,40.2678873,-111.6337281,1756.607,-0.89,-23.41,-0.67,0.515,0.745,0.18
$GNSS,2025-07-29T15:21:32.200Z,40.2678869,-111.6337418,1756.645,-0.74,-23.31,-0.62,0.515,0.745,0.18
$GNSS,2025-07-29T15:21:32.250Z,40.2678867,-111.6337554,1756.66,-0.66,-23.11,-0.49,0.515,0.745,0.18
$GNSS,2025-07-29T15:21:32.300Z,40.2678864,-111.6337689,1756.669,-0.55,-23.03,-0.3,0.514,0.746,0.18
$GNSS,2025-07-29T15:21:32.350Z,40.2678862,-111.6337823,1756.667,-0.5,-22.79,-0.17,0.514,0.746,0.18
$GNSS,2025-07-29T15:21:32.400Z,40.2678861,-111.6337955,1756.66,-0.29,-22.51,0.02,0.514,0.746,0.18
$GNSS,2025-07-29T15:21:32.450Z,40.2678861,-111.6338086,1756.632,-0.2,-22.27,0.25,0.514,0.746,0.18
$GNSS,2025-07-29T15:21:32.500Z,40.267886,-111.6338216,1756.599,-0.2,-22.12,0.53,0.513,0.746,0.18
$GNSS,2025-07-29T15:21:32.550Z,40.2678859,-111.6338345,1756.553,-0.23,-21.99,0.88,0.513,0.746,0.18
$GNSS,2025-07-29T15:21:32.600Z,40.2678858,-111.6338474,1756.485,-0.2,-22.05,1.15,0.513,0.746,0.18
$GNSS,2025-07-29T15:21:32.650Z,40.2678857,-111.6338603,1756.404,-0.27,-21.85,1.29,0.513,0.746,0.18
$GNSS,2025-07-29T15:21:32.700Z,40.2678856,-111.6338729,1756.313,-0.28,-21.64,1.49,0.512,0.746,0.18
$GNSS,2025-07-29T15:21:32.750Z,40.2678854,-111.6338856,1756.213,-0.38,-21.5,1.81,0.512,0.746,0.18
$GNSS,2025-07-29T15:21:32.800Z,40.2678853,-111.6338981,1756.085,-0.41,-21.41,2.38,0.512,0.746,0.18
$GNSS,2025-07-29T15:21:32.850Z,40.2678851,-111.6339108,1755.925,-0.45,-21.56,2.94,0.512,0.746,0.18
$GNSS,2025-07-29T15:21:32.900Z,40.2678849,-111.6339235,1755.746,-0.48,-21.63,3.33,0.511,0.747,0.18
$GNSS,2025-07-29T15:21:32.950Z,40.2678847,-111.6339361,1755.564,-0.39,-21.48,3.49,0.511,0.747,0.18
$GNSS,2025-07-29T15:21:33.000Z,40.2678845,-111.6339487,1755.37,-0.53,-21.34,3.59,0.511,0.747,0.18
$GNSS,2025-07-29T15:21:33.050Z,40.2678843,-111.6339611,1755.154,-0.55,-21.25,3.95,0.51,0.747,0.17
$GNSS,2025-07-29T15:21:33.100Z,40.2678841,-111.6339736,1754.93,-0.56,-21.27,4.23,0.51,0.747,0.18
$GNSS,2025-07-29T15:21:33.150Z,40.2678839,-111.6339861,1754.716,-0.43,-21.2,4.43,0.51,0.747,0.17
$GNSS,2025-07-29T15:21:33.200Z,40.2678839,-111.6339982,1754.465,-0.04,-20.66,4.65,0.51,0.747,0.19
$GNSS,2025-07-29T15:21:33.250Z,40.2678839,-111.6340102,1754.218,-0.04,-20.43,4.73,0.51,0.748,0.19
$GNSS,2025-07-29T15:21:33.300Z,40.2678838,-111.6340223,1753.945,-0.16,-20.55,5.11,0.51,0.748,0.19
$GNSS,2025-07-29T15:21:33.350Z,40.2678838,-111.6340343,1753.649,-0.11,-20.53,5.49,0.51,0.749,0.18
$GNSS,2025-07-29T15:21:33.400Z,40.2678836,-111.6340464,1753.327,-0.41,-20.55,5.93,0.51,0.75,0.18
$GNSS,2025-07-29T15:21:33.450Z,40.2678834,-111.6340584,1752.999,-0.61,-20.49,6.22,0.51,0.75,0.18
$GNSS,2025-07-29T15:21:33.500Z,40.2678832,-111.6340705,1752.671,-0.48,-20.47,6.53,0.51,0.751,0.17
$GNSS,2025-07-29T15:21:33.550Z,40.2678831,-111.6340824,1752.331,-0.14,-20.33,6.68,0.509,0.751,0.17
$GNSS,2025-07-29T15:21:33.600Z,40.2678833,-111.6340941,1751.962,0.28,-20.05,6.81,0.509,0.751,0.17
$GNSS,2025-07-29T15:21:33.650Z,40.2678836,-111.6341059,1751.601,0.46,-20.1,7.06,0.509,0.751,0.17
$GNSS,2025-07-29T15:21:33.700Z,40.2678837,-111.6341177,1751.242,0.33,-19.99,7.21,0.509,0.751,0.17
$GNSS,2025-07-29T15:21:33.750Z,40.2678838,-111.6341294,1750.853,0.14,-19.93,7.45,0.509,0.752,0.17
$GNSS,2025-07-29T15:21:33.800Z,40.267884,-111.6341409,1750.431,0.34,-19.8,7.7,0.509,0.752,0.17
$GNSS,2025-07-29T15:21:33.850Z,40.2678842,-111.6341525,1750.024,0.43,-19.76,7.92,0.509,0.752,0.18
$GNSS,2025-07-29T15:21:33.900Z,40.2678846,-111.6341641,1749.594,0.63,-19.67,8.33,0.508,0.752,0.18
$GNSS,2025-07-29T15:21:33.950Z,40.2678848,-111.6341756,1749.146,0.5,-19.68,8.6,0.508,0.752,0.18
$GNSS,2025-07-29T15:21:34.000Z,40.2678851,-111.6341872,1748.703,0.64,-19.65,8.74,0.508,0.752,0.18
$GNSS,2025-07-29T15:21:34.050Z,40.2678855,-111.6341987,1748.24,0.71,-19.62,8.86,0.508,0.752,0.18
$GNSS,2025-07-29T15:21:34.100Z,40.2678858,-111.6342102,1747.785,0.69,-19.57,8.96,0.508,0.752,0.18
$GNSS,2025-07-29T15:21:34.150Z,40.2678861,-111.6342216,1747.322,0.6,-19.5,9.06,0.508,0.752,0.18
$GNSS,2025-07-29T15:21:34.200Z,40.2678864,-111.634233,1746.839,0.57,-19.48,9.37,0.508,0.753,0.18
$GNSS,2025-07-29T15:21:34.250Z,40.2678868,-111.6342443,1746.345,0.82,-19.21,9.69,0.508,0.754,0.19
$GNSS,2025-07-29T15:21:34.300Z,40.2678872,-111.6342556,1745.833,0.83,-19.21,9.95,0.507,0.754,0.19
